Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;11626;190;;;
3500204;Interior;Adolfo;1161;28;;;
3500303;Interior;Aguaí;7420;139;;;
3500402;Interior;Águas da Prata;2191;40;;;
3500501;Interior;Águas de Lindóia;5661;67;;;
3500550;Interior;Águas de Santa Bárbara;623;25;;;
3500600;Interior;Águas de São Pedro;478;17;;;
3500709;Interior;Agudos;9331;123;;;
3500758;Interior;Alambari;1670;13;;;
3500808;Interior;Alfredo Marcondes;320;23;;;
3500907;Interior;Altair;325;18;;;
3501004;Interior;Altinópolis;1248;68;;;
3501103;Interior;Alto Alegre;425;29;;;
3501152;Interior;Alumínio;1750;56;;;
3501202;Interior;Álvares Florence;652;19;;;
3501301;Interior;Álvares Machado;4338;95;;;
3501400;Interior;Álvaro de Carvalho;356;9;;;
3501509;Interior;Alvinlândia;158;10;;;
3501608;Interior;Americana;28358;1017;;;
3501707;Interior;Américo Brasiliense;7708;114;;;
3501806;Interior;Américo de Campos;1296;39;;;
3501905;Interior;Amparo;10655;265;;;
3502002;Interior;Analândia;749;6;;;
3502101;Interior;Andradina;15918;320;;;
3502200;Interior;Angatuba;6095;95;;;
3502309;Interior;Anhembi;460;16;;;
3502408;Interior;Anhumas;409;10;;;
3502507;Interior;Aparecida;3001;129;;;
3502606;Interior;Aparecida d'Oeste;1807;28;;;
3502705;Interior;Apiaí;1810;112;;;
3502754;Interior;Araçariguama;3254;78;;;
3502804;Interior;Araçatuba;48978;1027;;;
3502903;Interior;Araçoiaba da Serra;3316;104;;;
3503000;Interior;Aramina;395;20;;;
3503109;Interior;Arandu;668;22;;;
3503158;Interior;Arapeí;277;7;;;
3503208;Interior;Araraquara;68017;669;;;
3503307;Interior;Araras;20506;467;;;
3503356;Interior;Arco-Íris;631;10;;;
3503406;Interior;Arealva;2209;31;;;
3503505;Interior;Areias;400;6;;;
3503604;Interior;Areiópolis;2387;33;;;
3503703;Interior;Ariranha;1043;38;;;
3503802;Interior;Artur Nogueira;9290;170;;;
3503901;RMSP (exceto capital);Arujá;12818;366;;;
3503950;Interior;Aspásia;632;12;;;
3504008;Interior;Assis;26661;482;;;
3504107;Interior;Atibaia;13438;511;;;
3504206;Interior;Auriflama;2558;90;;;
3504305;Interior;Avaí;837;14;;;
3504404;Interior;Avanhandava;1996;50;;;
3504503;Interior;Avaré;15791;334;;;
3504602;Interior;Bady Bassitt;4596;104;;;
3504701;Interior;Balbinos;820;4;;;
3504800;Interior;Bálsamo;3160;78;;;
3504909;Interior;Bananal;1169;11;;;
3505005;Interior;Barão de Antonina;1048;11;;;
3505104;Interior;Barbosa;992;25;;;
3505203;Interior;Bariri;8026;160;;;
3505302;Interior;Barra Bonita;5657;130;;;
3505351;Interior;Barra do Chapéu;469;16;;;
3505401;Interior;Barra do Turvo;915;27;;;
3505500;Interior;Barretos;32227;651;;;
3505609;Interior;Barrinha;1772;94;;;
3505708;RMSP (exceto capital);Barueri;48556;1274;;;
3505807;Interior;Bastos;4147;101;;;
3505906;Interior;Batatais;7121;212;;;
3506003;Interior;Bauru;90876;1492;;;
3506102;Interior;Bebedouro;6200;366;;;
3506201;Interior;Bento de Abreu;681;6;;;
